,national_qr,international_qr,date_first_detected,date_last_detected
c08df739ba232e38bcb278b322361d45,,1.0,2021-11-06,2024-06-16
c40c26dffbe073fa730f8a074a0bb0a1,,1.0,2021-11-06,2024-06-16
cbfc6e96fc9289d8a6f29dee5bb64c83,,1.0,2021-11-06,2024-06-16
cc7d2a7ce7efc79228d2becb619d6085,,1.0,2021-11-06,2024-06-16
ccabda377703a0f38ef69735e0000a40,,1.0,2021-11-06,2024-06-16
272a1737e2e46d6123a81bed7b5d66f3,1.0,,2021-11-06,2024-06-16
dd675765ae9380849d1042901954eaec,1.0,,2021-11-06,2024-06-16
f2b6cabd7fae9510661f123cb42ab028,1.0,,2021-11-06,2024-06-16
a1f5733f2bdd4dce237195f30f0cd570,1.0,,2021-11-06,2024-06-16
1e7bed15dd81adbeeb203bd737b2cc06,1.0,,2021-11-06,2024-06-16
066373136954d791b9c8120d92c2f2ad,1.0,,2021-11-06,2024-06-16
d752685feefb4bdbd58d6b248a28b556,1.0,,2021-11-06,2024-06-16
1484f8cc7dc555e879cf53d08fb5f96f,1.0,,2021-11-06,2024-06-16
424bd6b6e6b0826cc3ffdb0bb68a1e17,1.0,,2021-11-06,2024-06-16
3cb0b7f8fcfaef58fe6cdb45d593fbc1,1.0,,2021-11-06,2024-06-16
5c7430e795fda4c4d6c6ff38d059158f,1.0,,2021-11-06,2024-06-16
28d393e3472d1d613c5d37a4535be8d7,1.0,,2021-11-06,2024-06-16
46681dde0bd48ab9f09fc7f61eb7ef26,1.0,,2021-11-06,2024-06-16
94eedb203307bfadb3231c6f8a68ef01,1.0,,2021-11-06,2024-06-16
97ad8273a5b3d7ac3f602ce750ce11df,1.0,,2021-11-06,2024-06-16
f72e398515b217455a96ad0d59ea4052,1.0,,2021-11-06,2024-06-16
dc49a177493ddfc5b7bbc8fd27c19400,1.0,,2021-11-06,2024-06-16
454cadf0866b2c42d9c9e6123bc34d4d,1.0,,2021-11-06,2024-06-16
5bcf1e92d4130f3ee158605f6d964d16,1.0,,2021-11-06,2024-06-16
c225d56d59952171ce33d674485bb485,1.0,,2021-11-06,2024-06-16
f6b77cbb72de96a41773c7dfe644c361,1.0,,2021-11-06,2024-06-16
25614b5ec9e999f4f0779b9258518d47,1.0,,2021-11-06,2024-06-16
aea2c1f9b8c2909b8aa98ffa1d41d325,1.0,,2021-11-06,2024-06-16
366495f15da5311f318112cae34590ac,1.0,,2021-11-06,2024-06-16
5637ea9867d9a5a009707bed9582558a,1.0,,2021-11-06,2024-06-16
9597e50cec8ce1ce6d7f17dbc8733a45,1.0,,2021-11-06,2024-06-16
f2a638e5a4f0cf188a434600e97244a6,1.0,,2021-11-06,2024-06-16
ada55ecf0cc9e8f30c0ade1149e42f40,1.0,,2021-11-06,2024-06-16
bce121176d6d80e217513278f72fa082,1.0,,2021-11-06,2024-06-16
1223326ec93e86fa60a28a0b9656d48d,,1.0,2021-11-07,2024-06-16
7fa8a8432b92c4d9761530a6b866a034,,1.0,2021-11-07,2024-06-16
e652fcd1cba2c53a49b498d055413d24,,1.0,2021-11-07,2024-06-16
1a0bef9442dce4768bd01020fa65bfdb,,1.0,2021-11-07,2024-06-16
f96e9525e0018f6df2c3ba3220cf7ecb,,1.0,2021-11-07,2024-06-16
cace129e6953f19e1841ab5dc0056eb5,,1.0,2021-11-07,2024-06-16
1252a2315ae489188c3d63184be80bc2,,1.0,2021-11-07,2024-06-16
17fe0bdf8abbcae74dbc2c6f7c7df03b,,1.0,2021-11-07,2024-06-16
85453d088311f96c3a7685e07679c3ae,,1.0,2021-11-07,2024-06-16
bb81bf4ea7b563e100dfdcf8e14933f5,,1.0,2021-11-07,2024-06-16
9482e0045f0949a30a6def86bfdec942,,1.0,2021-11-07,2024-06-16
56ebd9a30714f1bee6d719ffcc730f55,,1.0,2021-11-07,2024-06-16
46c9ce37f3924416e98c445600a392ba,,1.0,2021-11-07,2024-06-16
e4926b36583c34cfff01f25a9455094b,,1.0,2021-11-07,2024-06-16
a11b55fe2693cc8ba8679ac69e3a9f03,,1.0,2021-11-07,2024-06-16
e59bae0aec5663a9f6658ff7ad25bdb2,,1.0,2021-11-07,2024-06-16
83ad9bc89d85828774b17e4408d17685,,1.0,2021-11-07,2024-06-16
b78128dec5d130b7a394d57a7800b3a7,,1.0,2021-11-07,2024-06-16
226f8f27fe2338e1832adc69fd29b71a,,1.0,2021-11-07,2024-06-16
b8d065344dd292fa2f05bcc026d7f62e,,1.0,2021-11-07,2024-06-16
f36a9d935df95d269d7f6e62082576e6,,1.0,2021-11-07,2024-06-16
eb0adc5add2d98be31e134e030e94c0b,,1.0,2021-11-07,2024-06-16
9a5b8fdabaab4c83371419d7e9d0e112,,1.0,2021-11-07,2024-06-16
20b77f53381b95cab010777eba8e1f49,,1.0,2021-11-07,2024-06-16
8241ecfa58afd8cc5ce1a511cd09df03,,1.0,2021-11-07,2024-06-16
241d8ee78f74161134122059af07ef2c,,1.0,2021-11-07,2024-06-16
798dc141670d3485016fa45364bcd2a9,,1.0,2021-11-07,2024-06-16
